@relation aux
@attribute Temperature numeric
@attribute Pressure {'50','100','200'}
@attribute class {'1','2'}
@data
66,'50','1'
66,'50','1'
66,'50','1'
66,'50','1'
66,'50','1'
66,'50','1'
70,'50','2'
70,'50','1'
70,'50','1'
70,'50','1'
70,'50','1'
70,'50','1'
69,'50','1'
69,'50','1'
69,'50','1'
69,'50','1'
69,'50','1'
69,'50','1'
68,'50','1'
68,'50','1'
68,'50','1'
68,'50','1'
68,'50','1'
68,'50','1'
67,'50','1'
67,'50','1'
67,'50','1'
67,'50','1'
67,'50','1'
67,'50','1'
72,'50','1'
72,'50','1'
72,'50','1'
72,'50','1'
72,'50','1'
72,'50','1'
73,'100','1'
73,'100','1'
73,'100','1'
73,'100','1'
73,'100','1'
73,'100','1'
70,'100','1'
70,'100','1'
70,'100','1'
70,'100','1'
70,'100','1'
70,'100','1'
57,'200','2'
57,'200','1'
57,'200','1'
57,'200','1'
57,'200','1'
57,'200','1'
63,'200','2'
63,'200','1'
63,'200','1'
63,'200','1'
63,'200','1'
63,'200','1'
70,'200','2'
70,'200','1'
70,'200','1'
70,'200','1'
70,'200','1'
70,'200','1'
78,'200','1'
78,'200','1'
78,'200','1'
78,'200','1'
78,'200','1'
78,'200','1'
67,'200','1'
67,'200','1'
67,'200','1'
67,'200','1'
67,'200','1'
67,'200','1'
53,'200','2'
53,'200','2'
53,'200','1'
53,'200','1'
53,'200','1'
53,'200','1'
67,'200','1'
67,'200','1'
67,'200','1'
67,'200','1'
67,'200','1'
67,'200','1'
75,'200','1'
75,'200','1'
75,'200','1'
75,'200','1'
75,'200','1'
75,'200','1'
70,'200','1'
70,'200','1'
70,'200','1'
70,'200','1'
70,'200','1'
70,'200','1'
81,'200','1'
81,'200','1'
81,'200','1'
81,'200','1'
81,'200','1'
81,'200','1'
76,'200','1'
76,'200','1'
76,'200','1'
76,'200','1'
76,'200','1'
76,'200','1'
79,'200','1'
79,'200','1'
79,'200','1'
79,'200','1'
79,'200','1'
79,'200','1'
75,'200','2'
75,'200','2'
75,'200','1'
75,'200','1'
75,'200','1'
75,'200','1'
76,'200','1'
76,'200','1'
76,'200','1'
76,'200','1'
76,'200','1'
76,'200','1'
58,'200','2'
58,'200','1'
58,'200','1'
58,'200','1'
58,'200','1'
58,'200','1'
