@relation aux
@attribute f1 numeric
@attribute a1 numeric
@attribute f2 numeric
@attribute a2 numeric
@attribute f3 numeric
@attribute a3 numeric
@attribute f4 numeric
@attribute a4 numeric
@attribute f5 numeric
@attribute a5 numeric
@attribute class {'1','2','3','4','5','6','7','8'}
@data
1,57.26591023,9,16.97350769,18,12.80111206,36,0.480963447,45,0.407581693,'4'
1,69.52255626,10,19.26246152,19,17.19478071,38,1.073620564,46,1.492282353,'4'
1,39.25809035,7,19.39580202,13,14.80799075,17,17.08265798,27,3.00024611,'4'
1,36.06947509,5,13.06676955,8,13.39826799,21,12.46411472,32,1.644856987,'4'
1,36.50142642,6,29.21263298,13,23.73312749,17,23.19010872,39,2.014536581,'4'
1,23.25647812,7,16.34968739,15,12.8888556,19,14.58819313,29,2.793591573,'4'
1,44.27918697,6,17.34321799,8,18.32821084,10,17.58677251,19,16.55931065,'4'
1,43.43108153,10,11.84016794,19,7.604744329,26,8.79261602,52,0.354004894,'4'
1,25.35121259,6,9.58790109,8,9.368190171,25,4.667374103,40,0.338994189,'4'
1,21.4825932,8,9.488002839,24,5.468747601,35,0.632159713,61,0.48203506,'4'
1,24.08025647,3,15.22804325,20,9.53144173,30,1.159225192,80,0.69188327,'4'
1,16.68959485,7,12.50598261,14,8.897467625,27,8.341632915,63,0.276972987,'4'
1,23.49287248,4,11.38977911,6,12.43133158,8,12.04395969,10,11.55872158,'4'
1,19.87496833,5,10.58812367,25,5.473463801,36,0.694732656,85,0.290227429,'4'
1,11.8670841,4,11.03208992,18,3.134043325,26,3.50604762,39,0.32666906,'4'
1,14.83354499,5,11.37782128,25,5.646733932,36,0.696314549,86,0.299270913,'4'
1,25.40066189,5,14.22329831,7,14.59373519,10,11.96642278,18,8.364914296,'4'
1,23.08950595,5,9.020640779,29,6.616132926,56,0.343331424,68,0.340293618,'4'
1,41.28925304,7,10.36399622,10,10.83588665,25,8.571761762,38,1.219744236,'4'
1,27.10053266,8,13.86225871,16,10.18007055,22,10.29204246,33,1.519996044,'4'
1,34.91310889,4,9.716657191,6,10.54549042,9,11.12897036,22,8.280284516,'4'
1,27.41416327,5,8.408123568,9,8.761756481,21,5.881602479,32,0.683200138,'4'
1,27.7677288,9,11.62620411,17,8.191803603,23,8.26519461,35,1.06294564,'4'
1,22.12816416,6,11.22696507,8,11.26806953,18,7.834528136,24,7.327043529,'4'
1,33.7044102,9,13.04201571,23,10.32106276,45,0.39471033,54,0.386694795,'4'
1,30.3348281,8,11.12039958,21,5.611359735,32,0.547456451,54,0.224475902,'4'
1,50.69211104,8,11.48832981,15,9.30875112,20,7.495944778,54,0.325751616,'4'
1,44.78820923,4,7.900065465,6,8.242319263,8,7.870739932,19,4.061643327,'4'
1,31.05231203,5,6.370003013,9,6.158187488,19,9.053305477,23,15.60275954,'6'
1,32.52135363,10,6.064843542,12,6.282728947,20,11.60952701,25,19.3673112,'6'
1,36.18119262,7,7.686911344,10,7.760117264,19,13.00456088,24,20.66145571,'6'
1,34.88143417,5,8.256579972,9,6.896569369,22,11.72357953,27,16.49734225,'6'
1,27.65166174,5,6.859890425,8,5.283506259,22,7.815223991,28,14.61882389,'6'
1,25.4948962,5,6.028603986,8,5.652649356,26,7.898744706,35,14.12208232,'6'
1,20.63782437,9,4.230719593,15,3.307674136,34,4.820344856,45,8.036080614,'6'
1,36.37476016,4,9.359288272,6,8.527605109,22,12.88822083,28,19.65983661,'6'
