@relation aux
@attribute id {'40004','40005a','40005b','40006','40665','40823','63132','63133','63134','63848','65044'}
@attribute weeks numeric
@attribute cells_percentage numeric
@attribute class {'1','2'}
@data
'40004',11,33,'2'
'40004',13,49,'1'
'40004',19,46,'1'
'40004',25,42,'1'
'40004',28,68,'1'
'40004',31,55,'1'
'40004',33,38,'1'
'40004',36,23,'2'
'40004',41,32,'2'
'40004',45,41,'2'
'40004',48,50,'1'
'40004',50,54,'1'
'40004',52,30,'2'
'40004',54,30,'1'
'40004',56,32,'2'
'40004',58,18,'2'
'40004',62,36,'2'
'40005a',14,34,'1'
'40005a',17,26,'2'
'40005a',23,21,'2'
'40005a',26,11,'2'
'40005a',29,19,'2'
'40005a',31,20,'1'
'40005a',34,13,'1'
'40005a',37,17,'1'
'40005a',41,17,'2'
'40005a',43,16,'1'
'40005a',45,21,'2'
'40005a',47,16,'2'
'40005a',49,21,'2'
'40005a',54,16,'2'
'40005b',10,7,'1'
'40005b',13,4,'2'
'40005b',16,9,'2'
'40005b',18,53,'2'
'40005b',20,15,'2'
'40005b',21,44,'2'
'40005b',23,53,'2'
'40005b',25,49,'2'
'40005b',27,63,'2'
'40005b',28,61,'2'
'40005b',30,70,'2'
'40005b',32,61,'2'
'40005b',34,72,'2'
'40005b',36,81,'2'
'40005b',38,78,'2'
'40005b',40,84,'2'
'40006',10,24,'2'
'40006',12,27,'2'
'40006',14,26,'2'
'40006',18,15,'2'
'40006',20,16,'2'
'40006',22,15,'2'
'40006',24,11,'2'
'40006',26,11,'2'
'40006',28,19,'2'
'40006',30,21,'2'
'40006',32,10,'2'
'40006',36,14,'2'
'40006',38,17,'2'
'40006',40,15,'2'
'40006',44,5,'2'
'40006',46,8,'2'
'40006',48,15,'2'
'40006',49,9,'2'
'40665',10,81,'1'
'40665',12,61,'1'
'40665',14,55,'1'
'40665',16,65,'1'
'40665',18,59,'1'
'40665',21,79,'2'
'40665',23,67,'2'
'40665',26,53,'2'
'40665',29,58,'1'
'40665',31,61,'1'
'40665',33,40,'1'
'40665',37,47,'1'
'40665',39,56,'2'
'40665',41,36,'2'
'40665',43,32,'1'
'40665',51,48,'1'
'40665',57,24,'2'
'40665',60,26,'1'
'40823',10,43,'2'
'40823',14,41,'1'
'40823',19,26,'2'
'40823',23,14,'2'
'40823',28,22,'1'
'40823',29,10,'1'
'40823',35,6,'1'
'40823',38,17,'2'
'40823',41,15,'2'
'40823',44,11,'1'
'40823',47,17,'1'
'40823',50,8,'1'
'40823',56,13,'1'
'40823',60,12,'1'
'40823',62,14,'1'
'63848',0,52,'1'
'63848',16,55,'2'
'63848',34,60,'1'
'63848',58,50,'1'
'63848',96,46,'1'
'63848',98,61,'1'
'63848',176,51,'1'
'63848',245,45,'2'
'63848',263,37,'2'
'63848',265,48,'2'
'63848',267,46,'2'
'63848',269,42,'2'
'63848',271,41,'2'
'63848',274,45,'1'
'63848',278,40,'2'
'63132',0,72,'1'
'63132',1.5,64,'1'
'63132',9,75,'1'
'63132',13,72,'1'
'63132',58,67,'1'
'63132',86,55,'1'
'63132',142,51,'1'
'63133',0,46,'1'
'63133',1.5,36,'1'
'63133',9,46,'1'
'63133',13,52,'1'
'63133',27,42,'1'
'63133',51,25,'1'
'63133',86,30,'1'
'63133',93,39,'1'
'63133',142,32,'1'
'63134',0,31,'1'
'63134',1.5,53,'1'
'63134',9,45,'1'
'63134',13,21,'1'
'63134',58,25,'1'
'63134',86,31,'1'
'63134',142,32,'2'
'65044',0,58,'1'
'65044',15,58,'1'
'65044',91,48,'1'
'65044',95,51,'1'
