@relation aux
@attribute LABEL numeric
@attribute P85 numeric
@attribute P75 numeric
@attribute RMT85 numeric
@attribute CS82 numeric
@attribute SS82 numeric
@attribute S82 numeric
@attribute ME84 numeric
@attribute REV84 numeric
@attribute REG numeric
@attribute class {'1','2'}
@data
1,33,27,288,13,24,49,2135,2836,1,'1'
2,19,15,139,14,12,41,957,2035,1,'1'
3,26,20,196,12,14,41,1530,6030,1,'1'
4,19,15,159,12,19,41,1059,4704,1,'1'
5,56,52,536,20,27,61,3951,5183,1,'1'
6,16,15,134,16,12,41,918,2157,1,'1'
7,70,62,623,18,27,61,4367,7072,1,'1'
8,66,54,517,15,32,61,4345,5246,1,'1'
9,12,12,96,10,12,31,754,951,1,'1'
10,60,50,467,14,29,61,3902,6067,1,'1'
11,32,29,277,14,20,45,1993,3264,1,'1'
12,20,14,155,10,21,41,1312,1899,1,'1'
13,53,40,386,24,13,51,2780,5931,1,'1'
14,28,27,241,24,8,45,1649,3877,1,'1'
15,48,43,422,19,18,51,2983,4968,1,'1'
16,653,671,6263,34,41,101,45324,59877,1,'1'
17,79,78,612,14,31,61,5331,7027,1,'1'
18,59,54,532,23,23,61,3994,6529,1,'1'
19,27,28,250,9,22,41,1616,2208,1,'1'
20,49,55,412,20,27,61,3240,3976,1,'1'
21,38,36,339,21,11,51,2055,4438,1,'1'
22,6,6,55,11,12,31,304,960,1,'1'
23,42,39,290,12,25,57,2294,7990,1,'1'
24,29,27,249,13,23,49,1899,2719,1,'1'
25,21,19,164,8,25,45,1217,2389,1,'1'
26,14,9,97,12,15,35,679,1462,2,'1'
27,9,10,74,3,20,31,490,1751,2,'1'
28,20,21,144,5,27,49,1109,2259,2,'1'
29,153,138,1277,21,36,81,7910,13205,2,'1'
30,33,32,240,10,24,51,1837,3281,2,'1'
31,21,19,163,7,23,49,1176,7082,2,'1'
32,10,10,63,4,18,35,454,952,2,'1'
33,65,62,488,14,33,61,3254,6389,2,'1'
34,13,14,111,4,19,31,759,1830,2,'1'
35,17,18,128,6,22,45,871,1833,2,'1'
36,32,33,230,9,30,51,1788,2914,2,'1'
37,89,92,720,15,46,79,5495,6772,2,'1'
38,25,22,179,11,22,49,1286,2628,2,'1'
39,6,6,37,8,17,41,257,655,2,'1'
40,4,4,24,5,11,35,177,637,2,'1'
41,10,11,65,9,19,49,470,1387,2,'1'
42,6,6,37,5,23,41,255,742,2,'1'
43,13,13,89,6,24,45,591,1307,2,'1'
44,24,25,187,8,33,55,1313,2165,2,'1'
45,9,9,60,10,21,49,415,1136,2,'1'
46,116,108,939,21,36,79,6313,10879,2,'1'
47,118,119,1008,22,45,85,7619,12112,2,'1'
48,12,10,81,11,17,45,555,1370,2,'1'
49,41,42,310,10,31,57,2402,3863,2,'1'
50,8,8,58,7,16,35,369,831,2,'1'
51,26,25,169,10,26,51,1311,2409,2,'1'
52,7,6,38,6,11,35,280,767,3,'1'
53,9,8,68,9,13,41,387,790,3,'1'
54,28,27,190,10,20,49,1327,2546,3,'1'
55,12,11,78,7,14,41,536,1254,3,'1'
56,107,108,807,19,38,81,6107,9343,3,'1'
57,31,33,220,10,27,57,1597,2653,3,'1'
58,30,30,226,10,18,49,1713,2834,3,'1'
59,12,12,69,9,14,45,493,1134,3,'1'
60,28,29,179,9,18,49,1349,2903,3,'1'
61,18,18,129,8,17,49,970,1652,3,'1'
62,18,19,119,9,19,41,963,1470,3,'1'
63,11,12,73,6,18,41,450,1220,3,'1'
64,9,9,59,6,24,41,458,790,3,'1'
65,14,15,92,11,17,49,659,1626,3,'1'
66,20,19,127,9,20,49,956,1983,3,'1'
67,16,15,104,10,21,49,762,1768,3,'1'
68,11,12,75,8,22,49,506,1169,3,'1'
69,66,62,505,15,23,61,3789,6850,3,'1'
70,27,26,183,9,18,49,1366,3053,3,'1'
71,8,8,49,6,21,41,361,807,3,'1'
72,8,8,41,7,15,41,349,765,3,'1'
73,13,11,76,12,19,49,520,1457,3,'1'
74,17,18,113,8,20,49,784,1733,3,'1'
75,13,13,90,8,24,49,538,2042,3,'1'
76,11,12,79,5,21,41,522,1060,3,'1'
77,54,52,408,16,29,61,3095,5302,3,'1'
78,21,22,140,7,24,49,1110,2010,3,'1'
79,28,28,200,10,31,59,1499,5717,3,'1'
80,40,42,284,12,38,75,2087,3773,3,'1'
81,16,16,103,10,19,49,736,1696,3,'1'
82,11,11,58,10,12,49,442,1743,3,'1'
83,56,54,654,13,30,71,5434,6050,3,'1'
84,15,18,118,6,28,49,813,1309,4,'1'
85,60,60,431,15,39,75,3285,4954,4,'1'
86,30,30,192,8,27,49,1575,2553,4,'1'
87,32,32,233,9,27,51,1593,4006,4,'1'
88,16,16,102,11,24,49,753,1515,4,'1'
89,15,15,97,6,24,41,735,1321,4,'1'
90,9,9,56,13,14,45,380,894,4,'1'
91,12,13,69,9,15,41,487,1343,4,'1'
92,12,11,73,5,28,41,492,1222,4,'1'
93,14,14,86,6,17,41,574,1306,4,'1'
94,7,7,53,9,16,35,339,779,4,'1'
95,16,16,105,13,22,49,852,1508,4,'1'
96,13,11,81,9,21,41,598,1026,4,'1'
97,12,11,77,16,10,49,481,2027,4,'1'
98,70,67,472,17,35,71,3613,6317,4,'1'
99,20,20,129,11,19,49,868,2216,4,'1'
100,31,28,194,17,16,49,1343,3073,4,'1'
101,49,48,299,15,25,61,2212,4055,4,'1'
102,13,12,81,7,18,41,528,1277,4,'1'
103,17,15,122,14,17,41,894,1670,4,'1'
104,14,14,113,10,24,41,729,1276,4,'1'
105,25,21,186,24,14,49,1142,3252,4,'1'
106,14,14,91,8,25,41,664,1380,4,'1'
107,21,19,145,12,25,49,1100,4117,4,'1'
108,17,15,133,16,17,45,882,1610,4,'1'
109,16,13,114,10,22,45,753,1413,4,'1'
110,13,11,78,8,15,41,521,1232,4,'1'
111,15,14,78,10,17,49,543,1622,4,'1'
112,13,12,72,8,12,41,532,1276,4,'1'
113,11,10,70,11,13,41,502,1201,4,'1'
114,229,247,3471,20,32,61,24694,17949,4,'1'
115,81,75,641,19,23,65,4807,6382,4,'1'
116,35,38,275,13,30,51,2112,3096,4,'1'
117,105,102,815,20,31,65,6323,9371,4,'1'
118,22,21,149,15,17,41,1031,2872,4,'1'
119,26,26,185,10,23,49,1495,2540,4,'1'
120,24,24,172,13,23,49,1299,2355,4,'1'
121,34,35,240,12,30,51,2089,3475,4,'1'
122,11,11,67,6,20,49,469,1726,5,'1'
123,77,74,526,17,32,71,4245,7533,5,'1'
124,21,19,122,10,15,49,917,2784,5,'1'
125,36,33,229,10,19,51,1560,4014,5,'1'
126,46,43,298,10,19,51,2439,10691,5,'1'
127,48,37,317,17,15,51,2115,6087,5,'1'
128,25,20,179,11,16,41,1089,2412,5,'1'
129,29,27,233,12,16,41,1377,2489,5,'1'
130,10,9,66,14,12,41,485,880,5,'1'
131,17,14,129,10,16,41,940,3690,5,'1'
132,12,10,87,10,10,41,543,1828,5,'1'
133,13,10,82,9,15,41,576,2092,5,'1'
134,9,9,63,7,19,41,385,1438,5,'1'
135,11,10,65,6,17,41,418,1135,5,'1'
136,12,11,72,8,12,41,524,1736,5,'1'
137,424,446,6720,21,35,81,47074,38945,5,'1'
138,49,47,381,14,25,61,2655,4660,5,'1'
139,31,28,240,12,19,49,1677,3307,5,'1'
140,15,15,118,7,23,41,781,3397,5,'1'
141,46,47,396,12,30,61,2610,4623,5,'1'
142,10,9,66,5,16,39,463,1190,5,'1'
143,5,5,35,6,12,41,253,538,5,'2'
144,7,7,43,6,13,35,344,725,5,'2'
145,23,22,166,9,26,49,1122,2025,5,'2'
146,31,28,216,12,14,41,1470,3065,5,'2'
147,9,8,53,10,11,41,393,895,5,'2'
148,12,12,82,9,19,45,539,1162,5,'2'
149,12,12,90,6,19,45,534,1243,5,'2'
150,11,10,62,8,14,41,414,1119,5,'2'
151,12,11,77,6,21,41,570,1178,5,'2'
152,32,30,207,10,23,51,1537,2955,5,'2'
153,11,10,68,10,14,41,474,1224,5,'2'
154,9,9,52,9,13,41,382,784,5,'2'
155,36,34,277,10,23,51,1918,3376,5,'2'
156,49,50,396,11,34,61,2881,4798,5,'2'
157,31,28,220,10,18,49,1579,2742,5,'2'
158,100,106,751,20,38,79,5742,7710,5,'2'
159,22,21,146,12,15,49,1053,2066,5,'2'
160,13,13,95,7,20,41,731,1101,5,'2'
161,6,5,37,8,9,39,256,658,5,'2'
162,6,6,35,11,10,41,280,521,5,'2'
163,7,5,39,9,13,35,329,637,5,'2'
164,9,6,46,8,12,35,387,813,5,'2'
165,8,8,59,6,18,35,401,762,5,'2'
166,6,7,44,8,19,41,311,731,5,'2'
167,17,17,105,12,12,49,782,1887,5,'2'
168,13,12,87,8,17,41,567,1324,5,'2'
169,11,11,66,6,18,41,597,1007,5,'2'
170,10,10,62,8,16,41,473,971,5,'2'
171,24,25,175,10,21,49,1386,2269,5,'2'
172,35,35,252,10,20,51,1890,3335,5,'2'
173,18,17,128,11,19,49,1058,1592,5,'2'
174,46,45,330,12,27,59,2656,4041,5,'2'
175,9,8,57,8,14,33,389,818,5,'2'
176,13,13,83,5,19,41,623,1192,5,'2'
177,32,33,208,11,19,51,1559,2681,5,'2'
178,11,9,74,8,17,39,533,977,6,'2'
179,9,10,63,6,22,41,411,869,6,'2'
180,15,16,109,7,25,49,803,2266,6,'2'
181,5,5,37,5,21,35,235,513,6,'2'
182,13,11,105,6,18,31,702,1366,6,'2'
183,5,6,38,3,27,39,245,433,6,'2'
184,12,11,82,6,25,41,646,935,6,'2'
185,10,11,76,5,27,45,501,1392,6,'2'
186,10,10,63,8,13,41,419,1011,6,'2'
187,13,14,86,7,15,41,552,1444,6,'2'
188,74,73,603,17,28,61,4270,6635,6,'2'
189,26,28,209,9,26,49,1398,2291,6,'2'
190,14,16,100,8,25,41,753,1509,6,'2'
191,17,19,121,4,32,49,885,1868,6,'2'
192,27,27,191,9,23,49,1441,2557,6,'2'
193,18,20,130,9,22,49,839,1719,6,'2'
194,8,9,63,3,23,41,411,950,2,'2'
195,17,17,128,6,25,45,1048,1606,2,'2'
196,12,12,90,3,26,41,607,1347,2,'2'
197,10,11,79,4,22,39,486,1102,2,'2'
198,7,7,50,1,18,35,325,688,2,'2'
199,118,118,1025,15,32,65,7700,11126,2,'2'
200,18,17,121,5,21,41,938,1645,2,'2'
