@relation R_data_frame

@attribute hdi numeric
@attribute class {1,2}

@data
0.116,1
0.143,1
0.15,1
0.15,1
0.157,1
0.162,1
0.2,1
0.208,1
0.212,1
0.212,1
0.235,1
0.236,1
0.239,1
0.25,1
0.255,1
0.258,1
0.273,1
0.274,1
0.282,1
0.294,1
0.304,1
0.304,1
0.318,1
0.322,1
0.328,1
0.333,1
0.337,1
0.354,1
0.356,1
0.36,1
0.369,1
0.393,1
0.395,1
0.404,1
0.413,1
0.423,1
0.439,1
0.44,1
0.471,1
0.471,1
0.474,1
0.481,1
0.481,1
0.489,1
0.501,1
0.506,1
0.525,2
0.535,2
0.548,1
0.561,1
0.563,1
0.576,1
0.58,1
0.591,1
0.592,1
0.608,1
0.609,2
0.646,2
0.651,1
0.657,2
0.66,2
0.691,2
0.699,1
0.702,2
0.714,1
0.716,1
0.719,2
0.731,2
0.735,2
0.737,1
0.743,1
0.751,2
0.752,2
0.753,2
0.758,2
0.759,2
0.782,2
0.783,1
0.784,1
0.784,2
0.788,2
0.789,2
0.789,1
0.79,1
0.8,2
0.801,2
0.824,1
0.824,2
0.861,2
0.863,2
0.876,2
0.877,2
0.883,2
0.885,2
0.899,2
0.899,2
0.903,2
0.91,2
0.91,2
0.913,2
0.915,2
0.916,2
0.916,2
0.918,2
0.92,2
0.931,2
0.931,2
0.936,2
0.946,2
0.953,2
0.957,2
0.961,2
0.961,2
0.961,2
0.965,2
0.966,2
0.966,2
0.966,2
0.967,2
0.967,2
0.97,2
0.971,2
0.974,2
0.978,2
0.983,2
0.983,2
0.984,2
0.986,2
0.987,2
0.996,2
