@relation aux
@attribute col_2 numeric
@attribute col_3 numeric
@attribute col_4 numeric
@attribute class {'1','2'}
@data
0.60814,0.03509,0.16607,'1'
0.79369,0.47924,0.53356,'2'
-0.8263,-0.61951,-0.78635,'1'
-1.2531,-1.21675,-1.04076,'1'
0.17399,-0.18517,0.14229,'1'
0.20246,0.12764,0.27311,'1'
0.24184,-0.09022,0.04967,'2'
0.59421,0.2175,0.51876,'2'
-0.61561,-0.48971,-0.63219,'1'
0.99391,0.62227,0.93368,'2'
1.21721,1.00627,1.17381,'2'
0.41436,0.71103,0.58978,'2'
0.83782,0.74281,0.72154,'1'
-0.75512,-0.64411,-0.56986,'1'
-0.37407,-0.13787,-0.2177,'2'
1.40353,1.14085,1.37147,'2'
1.64194,1.29229,1.40269,'2'
-0.31304,-0.0798,-0.21455,'2'
1.28525,1.22441,1.20428,'2'
-1.51938,-1.27565,-1.36598,'1'
-0.38224,-0.05353,-0.3556,'1'
-0.19186,-0.42605,-0.53718,'1'
1.27649,0.81427,0.91967,'1'
0.5231,0.3072,0.47231,'2'
-1.5981,-1.01572,-1.48315,'1'
0.77914,0.87771,0.76496,'2'
-1.04745,-0.77536,-0.91397,'1'
-1.63217,-1.47709,-1.71347,'1'
0.44328,0.60956,0.32833,'2'
-0.24972,0.07876,-0.17216,'1'
-0.3348,-0.39314,-0.37198,'1'
-0.2068,-0.13936,0.05626,'1'
-1.99375,-1.69587,-1.87838,'1'
0.66475,0.7967,0.69865,'2'
-0.27977,0.10817,-0.2645,'2'
-0.4399,-0.66022,-0.58491,'2'
-0.05334,-0.02396,-0.16795,'2'
-2.06699,-1.31832,-1.72082,'1'
-1.0256,-1.15858,-1.1942,'1'
0.45847,0.21555,0.31347,'1'
0.93979,0.63454,0.69907,'1'
-0.93238,-0.95216,-1.02725,'1'
-0.35988,-0.30693,-0.46232,'2'
-0.00518,0.35985,0.02485,'2'
-0.18892,-0.07959,0.01704,'1'
0.87271,0.47644,0.57036,'2'
-2.06993,-1.82915,-2.16738,'1'
0.32143,-0.25961,0.21632,'2'
-1.42382,-0.7762,-1.07473,'2'
-0.07852,-0.21347,-0.1175,'2'
-0.14925,-0.03192,-0.36599,'2'
0.52666,0.79149,0.71368,'2'
-1.49102,-1.02073,-1.38103,'2'
-0.94757,-1.28991,-1.24799,'1'
0.2455,0.83793,0.59596,'1'
-0.4163,-0.60312,-0.34951,'1'
1.38143,1.54542,1.59429,'2'
1.03806,0.91637,0.97602,'2'
-0.88639,-0.47652,-0.77693,'1'
1.08655,0.657,0.89401,'2'
-1.95142,-1.94199,-1.89645,'2'
2.83384,2.47398,2.79222,'1'
1.86753,1.55229,1.80057,'1'
-1.11172,-0.69732,-0.80197,'1'
1.41958,1.11481,1.24558,'2'
0.5394,0.16182,0.33477,'2'
0.22491,0.748,0.66183,'2'
1.48244,1.47079,1.54283,'1'
2.05425,1.80369,1.90066,'2'
1.24058,0.64484,0.87372,'1'
